state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NM,Albuquerque Journal,128401,1924,NM,AMENDMENT,,NM CONSTITUTIONAL AMENDMENTS PROLONGING TERMS OF STATE AND COUNTY OFFICERS TO FOUR YEARS (TWO AMENDMENTS REFERENCED),1,"PAPER SUPPORTS 'YES' ON ALL THREE AMENDMENTS REFERENCED IN THIS EDITORIAL: TWO PROLONG TERMS, ONE IS GRAND JURY REFORM. NUMBERS NOT EXPLICITLY SPECIFIED IN THIS CLIPPING.",0.75
NM,Albuquerque Journal,128401,1924,NM,AMENDMENT,GRAND JURY REFORM,NM CONSTITUTIONAL AMENDMENT - GRAND JURY REFORM (DECREASES TO TWELVE; PERMITS TRIAL OF FELONIES ON INFORMATION),1,ENDORSED BY STATE BAR ASSOCIATION; 'ALTOGETHER IN THE INTEREST OF ECONOMY AND OF BETTER LAW ENFORCEMENT'.,0.85
NM,Albuquerque Journal,128401,1924,NM,AMENDMENT,2,"NM CONSTITUTIONAL AMENDMENT NO. 2 - REDISTRIBUTE UNIVERSITY OF NM LAND OIL REVENUES TO COMMON SCHOOLS, PUBLIC BUILDINGS, PENITENTIARY, ETC. (WOULD STRIP UNM OF 87.5% OF EXPECTED OIL REVENUES)",0,"PAPER STRONGLY OPPOSES; URGES OVERWHELMING NO VOTE IN BERNALILLO, SANDOVAL, VALENCIA, TORRANCE AND SANTA FE COUNTIES TO INSURE DEFEAT.",0.95
NM,Albuquerque Journal,128401,1928,NM,BALLOT MEASURE,PLATFORM,JOURNAL'S PLATFORM - INCLUDES IMPEACHMENT OF JUDGE REED HOLLOMAN; WORKMEN'S COMPENSATION ACT; STATE-PROVIDED TEXTBOOKS FOR GRADE SCHOOLS; PROHIBITION ON UNLIMITED HIGHWAY DEBENTURE ISSUANCE; MORE ECONOMICAL STATE ADMINISTRATION,1,THE JOURNAL'S OWN PLATFORM PUBLISHED AS POLICY ENDORSEMENTS; NOT A FORMAL BALLOT MEASURE BUT NEWSPAPER'S POLICY POSITIONS.,0.7
NM,Albuquerque Journal,128401,1940,NM,BOND,,NM STATE BOND PROPOSAL (REVIEWED MONDAY; PAPER OPPOSES),0,PAPER REFERENCED PRIOR EDITORIAL OPPOSING BOND PROPOSAL.,0.7
NM,Albuquerque Journal,128401,1940,NM,AMENDMENT,2,NM CONSTITUTIONAL AMENDMENT NO. 2 - PERMIT LEGISLATURE TO ENACT LAWS CONCERNING ABSENTEE VOTING,1,PAPER ENDORSES; 'TODAY ABSENTEE PROVISIONS ARE MORE NECESSARY THAN EVER. MANY YOUNG MEN... SERVING IN THE ARMY OR NAVY' WOULD BE DEPRIVED OTHERWISE.,0.95
NM,Albuquerque Journal,128401,1940,NM,AMENDMENT,3,NM CONSTITUTIONAL AMENDMENT NO. 3 - PROVIDING FOR A SPLIT LEGISLATIVE SESSION,1,PAPER ENDORSES.,0.92
NM,Albuquerque Journal,128401,1940,NM,,,,1,'WE BELIEVE THE SPLIT [SESSION]... OVER THE OLD SYSTEM. CITIZENS WOULD HAVE TIME TO STUDY THE PROPOSED BILLS... BETTER LEGISLATIVE ACTS SHOULD RESULT.',0.85
NM,Albuquerque Journal,128401,1942,NM,AMENDMENT,1,NM CONSTITUTIONAL AMENDMENT NO. 1 - REAPPORTIONMENT OF SENATORS AND REPRESENTATIVES IN STATE LEGISLATURE; ONE SENATOR PER COUNTY; ONE OR MORE REPS BY POPULATION; ABOLISHES SHOESTRING DISTRICTS AND LEGISLATIVE GERRYMANDER,1,,0.95
NM,Albuquerque Journal,128401,1942,NM,AMENDMENT,2,NM CONSTITUTIONAL AMENDMENT NO. 2,0,PAPER RECOMMENDS REJECTION; NO DETAILS IN CAPTURED OCR.,0.7
NM,Albuquerque Journal,128401,1942,NM,AMENDMENT,3,NM CONSTITUTIONAL AMENDMENT NO. 3 - LEASE STATE LANDS FOR GRAZING AND AGRICULTURAL PURPOSES FOR 10 YEARS (UP FROM 5 YEARS); SAME BASIS AS OIL/MINERAL LEASES,1,,0.95
