state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
NM,Albuquerque Tribune,128400,1946,NM,AMENDMENT,1,STATE CONSTITUTIONAL AMENDMENT NO. 1 - RESTORE 60-DAY LEGISLATIVE SESSION REPLACING SPLIT SESSION,1,Paper believes amendment should pass; split session has been ineffective and costly.,0.9
NM,Albuquerque Tribune,128400,1946,NM,AMENDMENT,2,STATE CONSTITUTIONAL AMENDMENT NO. 2 - PROPERTY WITH TAX LIEN ACQUIRED BY EXEMPT ORGANIZATIONS NOT EXEMPT FROM LIEN/TAXES,1,Tax obligations should be discharged before newly acquired property becomes exempt.,0.9
NM,Albuquerque Tribune,128400,1948,NM,AMENDMENT,3,NM CONSTITUTIONAL AMENDMENT NO. 3 - 'RIGHT TO WORK' / PROHIBIT CLOSED AND UNION SHOPS,,PAPER PRESENTED BOTH SIDES; ENDORSEMENT DIRECTION NOT FULLY CAPTURED IN OCR.,0.7
NM,Albuquerque Tribune,128400,1954,NM,BOND,STATE-INST,"NM STATE $4,500,000 BOND FOR NEW BUILDINGS FOR STATE INSTITUTIONS",,PAPER QUESTIONS DISTRIBUTION SCHEME ('SPREAD MONEY OVER SO MANY EDUCATIONAL INSTITUTIONS') BUT POSITION ON OVERALL BOND UNCLEAR.,0.7
NM,Albuquerque Tribune,128400,1954,NM,BOND,BERN-COURTHOUSE,"BERNALILLO COUNTY BOND - $2,000,000 FOR NEW COURT HOUSE",1,Best solution is to vote bonds and trust commission to spend wisely; we need more court house space.,0.9
NM,Albuquerque Tribune,128400,1954,NM,BOND,STATE,"STATE BOND ISSUE - $4,500,000 FOR NEW BUILDINGS AT STATE INSTITUTIONS (PRIMARILY HIGHER EDUCATION)",1,Paper thinks the bond issue should be approved.,0.92
NM,Albuquerque Tribune,128400,1958,NM,AMENDMENT,2,NM CONSTITUTIONAL AMENDMENT NO. 2,,OCR HEADER ONLY; POSITION NOT CAPTURED.,0.6
NM,Albuquerque Tribune,128400,1958,NM,AMENDMENT,1,NM CONSTITUTIONAL AMENDMENT 1 - PERMIT LEGISLATURE TO PASS ABSENTEE VOTING LAW,1,Hundreds of citizens in armed forces or away from home cannot vote; this should be corrected.,0.92
NM,Albuquerque Tribune,128400,1958,NM,TAX,BERN-HOSPITAL-LEVY,BERNALILLO COUNTY 3.25 MILL TAX LEVY FOR COUNTY-INDIAN HOSPITAL,1,Without the levy hospital would have to close to all except Indian patients; urge voters to support the levy.,0.92
NM,Albuquerque Tribune,128400,1960,NM,BOND,STATE-EDU-1960,"NM STATE $8 MILLION BOND FOR HIGHER EDUCATION (BUILDINGS, REMODELING, EQUIPMENT)",1,,0.92
